"id","název","popis","kategorie","cena","recenze"
"1","Televize Samsung LED 155 palců","155palcová televize s LED technologií a rozlišením 7K Ultra HD. Skvělá volba pro domácí zábavu.","Televize","1899.59","recenze 4 z 10"
"2","Televize Sony LED 55 palců","55palcová televize s LED technologií a rozlišením 4K Ultra HD. Skvělá volba pro domácí zábavu.","Televize","799.99","recenze 8 z 10"
"3","Notebook Lenovo ThinkPad","Tenkovrstvý notebook s výkonným procesorem Intel Core i7 a operační pamětí 16 GB. Ideální pro profesionální využití.","Notebook","1299.99","recenze 4 z 10"
"4","Notebook MacAir","Tenkovrstvý notebook s výkonným procesorem Intel Core i7 a operační pamětí 16 GB. Ideální pro domácí využití.","Notebook","2277.88","recenze 4 z 10"
"5","Notebook MacPro","Notebook s výkonným procesorem Intel M2 a operační pamětí 32 GB. Ideální pro profesionální využití.","Notebook","4277.88","recenze 10 z 10"
"6","Chytrý telefon Samsung Galaxy S20","Chytrý telefon s výkonným procesorem, špičkovým fotoaparátem a podporou 5G sítí. Ideální pro multitasking a mobilní fotografování.","Chytrý telefon","999.99","recenze 4 z 10"
"7","Chytrý telefon iPhone 15","Chytrý telefon s výkonným procesorem,špičkovým fotoaparátem a podporou 5G sítí. Ideální pro multitasking a mobilní fotografování.","Chytrý telefon","1099.99","recenze 7 z 10"
"8","Bezdrátová sluchátka Sony",'Bezdrátová sluchátka s výborným zvukem a dlouhou výdrží baterie. Ideální pro poslech hudby a hovory bez omezení kabelů.","Sluchátka","129.88","recenze 4 z 10"
"9","Bezdrátová sluchátka Pioneer","Bezdrátová sluchátka s výborným zvukem a dlouhou výdrží baterie. Ideální pro poslech hudby a hovory bez omezení kabelů.","Sluchátka","229.99","recenze 4 z 10"
"10","Sluchátka Pioneer","Bezdrátová sluchátka s výborným zvukem a připojená kabelem. Ideální pro poslech hudby.","Sluchátka","409.21","recenze 9 z 10"